num_followers,num_stars,forks,num_followings,username,num_repositories,stars_received
6,6,0,6,Smrity01,6,5
23,1200,0,101,Arshilgenius,10,1
0,0,0,2,yogesh-mca17du,1,0
14,207,5,14,antbelldev,5,25
3,2,0,5,ShubhangiMisra,3,0
2,0,0,1,aashna94,7,0
0,0,0,1,kunaltyagi26,5,0
3,63,1,34,jatin69,17,0
956,18,0,5000,AndiChiou,7,8
9,4,3,12,DEEZZU,20,3
4,9,4,4,vipinkjonwal,7,9
2,0,0,23,mittalprince,12,0
1,0,0,4,meghamca16du,5,2
1,0,0,5,ShreekrishnaK,4,0
11,13,41,10,geekychaser,26,13
5,17,0,19,nishant19,15,4
52,2,5,8,futurulus,17,12
67,3,0,5,jtibshirani,3,0
110,20,21,6,gangeli,17,116
46,7,6,4,nihit,4,57
63,0,1,0,sebschu,10,5
79,0,132,2,abisee,7,346
444,2,14,0,manning,9,15
180,72,228,8,pathak22,10,973
13,60,0,33,markwhiting,15,4
6,83,0,0,ryanzhumich,4,3
94,752,1,251,shivenmian,22,4
4,0,0,0,dragomirradev,1,0
25,320,2,99,krishpop,25,1
13,32,0,19,pprakhar30,4,17
5,38,4,0,kmeelu,18,3
39,5,0,2,mbernst,14,0
33,43,2,17,Macbull,23,9
24,0,1,2,rvaish,12,0
20,5,0,1,isabelleaugenstein,4,0
145,209,33,143,kshitij10496,24,58
331,27,116,2,amaneureka,16,1517
3,5,2,1,Shobhit117,5,2
27,24,3,68,uttpal,27,29
0,1,0,31,shubhi-agarwal,1,1
4,7,0,11,Pulkit287,8,0
1,1,2,1,atulit123,8,0
0,0,0,1,TtingZh,0,0
0,0,0,18,tarungupta1999,1,0
3,12,0,374,nkamc,2,0
9,64,0,160,SyamSundarKirubakaran,11,0
1,6,0,10,Parth-DH,7,0
0,1,0,4,vibhassingh99,4,0
0,0,0,5,AvishJ,0,0
0,1,0,1,Sadeem,10,0
3,7,1,5,blame19,5,0
7,12,0,551,javadhelali,5,0
4,1,0,41,VivekDoke,4,1
34,274,3,49,zhf,20,21
42,32,13,12,ankitvgupta,29,9
1300,8,171,4,ashish1294,20,179
197,114,308,35,paarthneekhara,10,1887
2,19,3,21,kalpak92,13,0
20,9,7,0,ggianna,14,4
3,10,0,37,ankitrhode,20,0
1,1,0,7,ayush-vibrant,12,0
0,1,0,5,sahilbhargav,0,0
4,0,0,10,daodaomangod,2,0
2,2,0,21,shreya888,5,0
5,110,0,29,duggalr2,13,6
1,3,2,9,MohamadAfifi,11,0
0,0,0,1,apoorvagm,2,0
1,6,0,5,AbhiRepository,10,4
0,10,0,8,mayanksingh8005,2,0
1,0,0,63,zhanvwei,8,0
37,341,2,139,AnirudhMurali,8,0
1,1,0,1,Aquariuswim,2,0
0,0,0,1,CandiceGuo,16,0
21,302,0,145,palash25,29,3
3,52,0,15,wuzinong,23,1
6,2,0,18,pacopedraza,22,1
73,221,250,163,hindupuravinash,26,1214
5,32,0,28,youssseeef,4,1
72,218,1,235,xyzhanjiang,7,30
6,330,0,46,yuyang151311,16,0
9,132,3,16,Mumbaikar007,24,3
6,6,0,21,josesmachava,4,1
1,81,0,10,a690700752,2,0
10,15,1,11,cferrios,9,1
11,7,0,38,UmarEhsan,29,1
4,49,0,45,rpalaciosg,8,0
2,13,0,7,sunb0002,6,0
1,3,0,4,teaboy1117,3,0
1,0,0,18,ZYHCH,2,0
2,2,0,12,sokratix,4,1
5,45,0,26,Markus1607,21,1
1,69,0,5,error523,13,0
1,1,0,2,johnLitoBardinas,4,0
1,11,0,6,ShootToThrill,14,2
3,227,2,20,yang123guo,18,4
3,8,0,7,anukarsh1,11,2
2,40,0,6,mendaxca,1,1
1,8,0,8,shawncheeer,21,1
1,69,0,17,web-Huang,14,0
1,4,0,4,l328747807,3,1
1,4,0,10,Shyonokaze,5,0
14,58,0,41,iSinga,18,0
3,31,0,8,zwellgood,11,0
7,12,1,172,gokulsan,13,0
7,305,0,73,SelenaWong,28,0
9,5,0,13,sarikaya,5,1
1,1,0,1,billyhawaii,3,0
42,12,0,53,fhoshino,0,0
25,1,6,0,nth10sd,26,9
10,0,6,0,freehkfonts,1,47
203,20,567,0,roojs,24,282
6,13,0,3,comsaint,14,0
443,31,725,2,cambecc,11,3112
3,36,0,0,michaelfung,11,3
1,0,0,0,michaelfkc,4,0
21,1,2,15,carlosdavidepto,11,10
12,31,41,5,yiyangest,25,78
8,252,0,6,dayi,27,0
2,8,0,12,appst,4,1
9,99,1,13,ouvanous,9,3
758,154,0,280000,KevinHock,18,9
6,104,0,15,rexsohw,2,0
1,7,0,2,Cheereus,4,0
654,1,5,28300,Linux-Player,2,13
9800,219000,215,231000,angusshire,8,1555
314,12200,0,26400,beali,0,0
0,12,0,6,kanelai,6,1
25,1200,0,80,chown9835,1,0
8,564,0,28,circlehk,1,0
28,3,8,17,tcmak,18,8
4,3,2,0,ShawTim,6,2
5,6,0,3,caxekis,9,1
35,17,5,25,cedricsam,10,21
35,59,3,16,codelotus,21,5
23,174,0,19,kiko,14,3
17,144,12,13,wailqill,16,16
13,56,6,14,saki,3,8
17,38,0,37,tanigon,0,0
43,27,28,7,steffen,17,122
21,909,0,115,andreydjason,15,6
11,11,4,1,cappelaere,21,11
14,253,0,133,membogg,4,2
0,5,0,22,walterch87,7,0
1,0,0,4,nicholasyau,1,0
0,1,0,2,charliekwan,0,0
3,13,0,1,lucianno,1,0
1,1,0,4,JupiterYoung,0,0
11,668,0,31,chrisswong,23,2
4,94,0,10,natlungfy,4,0
8,156,8,14,WeiWW,12,3
42,116,35,21,mkroehnert,23,38
25,3,0,83,immark,1,0
1,14,0,8,keithhkcss2015,1,0
0,3,0,1,robertraw,5,0
49,18,5,99,mahiuchun,20,22
19,47,6,19,darkcircle,24,13
32,8,5,6,bochecha,23,20
65,1300,123,17,waterlou,30,742
13,840,0,161,garnettk,2,0
9,43,0,1,akspan12,8,40
5,39,0,1,rogerso,16,1
37,371,0,893,HiPERTROJAN,2,0
249,0,0,1200,dfsupcom,0,0
477,1,1,12700,cenaion,3,6
5,0,0,109,theidioms,1,0
5,1,0,105,lannyloo2,1,0
11,0,0,102,sunriseinnbradenton,0,0
219,107,1,2000,eivindml,23,44
7,12,3,21,lwgray,21,12
246,102,50,1100,AhmadNemati,14,214
75,1,0,794,esselte974,1,0
